emp_no,first_name,last_name,dept_no
10053,Sanjiv,Zschoche,d007
10088,Jungsoon,Syrzycki,d007
10149,Xiadong,Perry,d007
10215,Xiaobin,Duclos,d007
10302,Faiza,Baer,d007
10355,Satyanarayana,Cochrane,d007
10442,Volkmar,Unno,d007
10463,Ung,Zaiane,d007
10504,Xiong,Varker,d007
10541,Godehard,Eiter,d007
10548,Ramalingam,Gunderson,d007
10629,Lalit,Francisci,d007
10767,Monique,Doering,d007
10795,Supot,Naudin,d007
10836,Jianhua,Leivant,d007
10878,Lakshmi,Deville,d007
10895,Vishwani,Petersohn,d007
10924,Hironoby,Atchley,d007
10965,Eckart,Braunschweig,d007
11009,Alper,Axelband,d007
11048,Jaques,Demke,d007
11146,Ishfaq,Masand,d007
11197,Tadahiro,Fordan,d007
11338,Kwangsub,Hanratty,d007
11441,Marlo,Aingworth,d007
11506,Rance,Picel,d007
11515,Ulf,Basawa,d007
11537,DAIDA,Pehl,d007
11567,Teiji,Mitzlaff,d007
11615,Shem,Isaak,d007
11660,Gill,Stenning,d007
11696,Dante,Rothe,d007
11746,Koichi,Marrakchi,d007
11747,Aksel,Kossowski,d007
11797,Chenxi,Thambidurai,d007
11813,Gita,Muhlberg,d007
11817,Niranjan,Markovitch,d007
11838,Taiji,Nitta,d007
11857,Divier,Farrag,d007
11897,Cordelia,Setlzner,d007
12011,Zhilian,Coorg,d007
12036,Mads,Ratzlaff,d007
12076,Karlis,Siprelle,d007
12082,Xinan,Yamaashi,d007
12099,Nobuyoshi,Kuzuoka,d007
12128,Yannik,Barreiro,d007
12149,Suebskul,Grandbois,d007
12373,Mooi,Driscoll,d007
12399,Mihalis,Luga,d007
12411,Shao,Ibel,d007
12415,Uri,Sluis,d007
12454,Kerryn,Farris,d007
12464,Shai,Milicic,d007
12478,Yahiko,Hopewell,d007
12497,Stein,Penz,d007
12541,Shih,Nanard,d007
12651,Pragnesh,Bael,d007
12664,Zhonghua,Parveen,d007
12732,Mara,Takanami,d007
12759,LiMin,Kuszyk,d007
12790,Gunilla,Perl,d007
12798,Lillian,Beeson,d007
12803,Gad,Boissier,d007
12872,Marl,Schmittgen,d007
12890,Neven,Casley,d007
12893,Licheng,Crouzet,d007
12922,Jacqueline,Porenta,d007
12951,Mohammad,Keirsey,d007
12974,Gift,Frolund,d007
13075,Rosella,Morrin,d007
13124,Quingbo,Garnick,d007
13146,Haldon,Erie,d007
13147,Shichao,Ginesta,d007
13173,Arve,Horswill,d007
13179,Moty,Janocha,d007
13186,Kyoichi,Barbanera,d007
13210,Jianhua,Klassen,d007
13213,Hein,Billawala,d007
13238,Ebru,Foote,d007
13243,Fay,Huxford,d007
13305,Bikash,Herath,d007
13392,Fumitake,Beidas,d007
13405,Randy,Baba,d007
13524,Chaoyi,Porotnikoff,d007
13605,Dmitry,Encarnacion,d007
13680,Denny,Speer,d007
13684,Elvia,Christ,d007
13721,Sugwoo,Delgrossi,d007
13747,Masaru,Capobianchi,d007
13769,Yakichi,Trogemann,d007
13775,Arve,Maierhofer,d007
13786,Takushi,Berendt,d007
13801,Shih,Mayerwieser,d007
13916,Vidya,Wynblatt,d007
13930,Sukumar,Chartres,d007
13951,Mooi,Genther,d007
13986,Geraldo,Ramsey,d007
14197,Adin,Chachaty,d007
14275,Tristan,Aseltine,d007
14310,Marlo,Leuchs,d007
14354,Mong,Bojadziev,d007
14478,Munehiro,Boissier,d007
14513,Samphel,Barreiro,d007
14516,Kristian,Underwood,d007
14607,Suzette,Selvestrel,d007
14621,Souichi,Wixon,d007
14639,Arvind,Hempstead,d007
14648,IEEE,Lorys,d007
14865,Ute,Serra,d007
14871,Arnd,Kaiserswerth,d007
14888,Temple,Barriga,d007
14899,Alejandro,Casley,d007
14966,Zhanqiu,Underwood,d007
15030,Rasikan,Nourani,d007
15071,Ayonca,Couchot,d007
15105,Sudhanshu,Itzigehl,d007
15113,Zhiguo,Giaccio,d007
15134,Arun,Luiz,d007
15151,Urs,Pouyioutas,d007
15176,Charlene,Sankaranarayanan,d007
15271,Shiv,Bernardeschi,d007
15292,Miyeon,Lammel,d007
15330,Jaroslava,Chinal,d007
15369,Premal,Penttonen,d007
15372,Nahum,Broder,d007
15382,Alassane,Siegrist,d007
15410,Wilmer,Kushner,d007
15454,Hongzue,Cesareni,d007
15474,Gilbert,Plumb,d007
15511,George,Kowalchuk,d007
15539,Shigeichiro,Spieker,d007
15566,Baoqiu,Azuma,d007
15601,Carrsten,Anily,d007
15641,Jaana,Roisin,d007
15708,Reuven,Kushnir,d007
15715,Insup,Ibel,d007
15740,Stepehn,Pocchiola,d007
15799,Manton,Gelosh,d007
15819,Magdalena,Rajcani,d007
15912,Piyawadee,Cichocki,d007
15938,Garnik,Covnot,d007
16066,Marsha,Penn,d007
16105,Alper,Tetzlaff,d007
16233,Sushant,Baba,d007
16266,Mikhail,Sethi,d007
16331,Giap,Garnham,d007
16355,Nikolaos,Luca,d007
16364,Yifei,Gini,d007
16373,Narain,Aseltine,d007
16396,Guangming,Yoshimura,d007
16398,Limsoon,Krzyzanowski,d007
16399,Apostol,Collette,d007
16446,Jouko,Chinin,d007
16487,Arunas,Yemenis,d007
16490,Muzhong,Thiria,d007
16500,Elvis,Servieres,d007
16607,Vishwani,Honglei,d007
16672,Georgi,Peris,d007
16806,Sreekrishna,Dayana,d007
16808,Kiyokazu,Katiyar,d007
16858,Akeno,Gustavson,d007
